,证券简称,"一致预测ROE(FY1)
[交易日期] 2017-12-31
[单位] %","一致预测ROE(FY1)
[交易日期] 2018-12-31
[单位] %↓","净资产收益率
[报告期] 2009年报
[单位] %","净资产收益率
[报告期] 2010年报
[单位] %","净资产收益率
[报告期] 2011年报
[单位] %","净资产收益率
[报告期] 2012年报
[单位] %","净资产收益率
[报告期] 2013年报
[单位] %","净资产收益率
[报告期] 2014年报
[单位] %","净资产收益率
[报告期] 2015年报
[单位] %","净资产收益率
[报告期] 2016年报
[单位] %","净资产收益率
[报告期] 2017年报
[单位] %","净资产收益率
[报告期] 2018年报
[单位] %","净资产收益率
[报告期] 2019年报
[单位] %","销售毛利率
[报告期] 2009年报
[单位] %","销售毛利率
[报告期] 2010年报
[单位] %","销售毛利率
[报告期] 2011年报
[单位] %","销售毛利率
[报告期] 2012年报
[单位] %","销售毛利率
[报告期] 2013年报
[单位] %","销售毛利率
[报告期] 2014年报
[单位] %","销售毛利率
[报告期] 2015年报
[单位] %","销售毛利率
[报告期] 2016年报
[单位] %","销售毛利率
[报告期] 2017年报
[单位] %","销售毛利率
[报告期] 2018年报
[单位] %","销售净利率
[报告期] 2009年报
[单位] %","销售净利率
[报告期] 2010年报
[单位] %","销售净利率
[报告期] 2011年报
[单位] %","销售净利率
[报告期] 2012年报
[单位] %","销售净利率
[报告期] 2013年报
[单位] %","销售净利率
[报告期] 2014年报
[单位] %","销售净利率
[报告期] 2015年报
[单位] %","销售净利率
[报告期] 2016年报
[单位] %","销售净利率
[报告期] 2017年报
[单位] %","销售净利率
[报告期] 2018年报
[单位] %","总资产报酬率ROA
[报告期] 2009年报
[单位] %","总资产报酬率ROA
[报告期] 2010年报
[单位] %","总资产报酬率ROA
[报告期] 2011年报
[单位] %","总资产报酬率ROA
[报告期] 2012年报
[单位] %","总资产报酬率ROA
[报告期] 2013年报
[单位] %","总资产报酬率ROA
[报告期] 2014年报
[单位] %","总资产报酬率ROA
[报告期] 2015年报
[单位] %","总资产报酬率ROA
[报告期] 2016年报
[单位] %","总资产报酬率ROA
[报告期] 2017年报
[单位] %","总资产报酬率ROA
[报告期] 2018年报
[单位] %","资产负债率
[报告期] 2009年报
[单位] %","资产负债率
[报告期] 2010年报
[单位] %","资产负债率
[报告期] 2011年报
[单位] %","资产负债率
[报告期] 2012年报
[单位] %","资产负债率
[报告期] 2013年报
[单位] %","资产负债率
[报告期] 2014年报
[单位] %","资产负债率
[报告期] 2015年报
[单位] %","资产负债率
[报告期] 2016年报
[单位] %","资产负债率
[报告期] 2017年报
[单位] %","资产负债率
[报告期] 2018年报
[单位] %","产权比率
[报告期] 2009年报","产权比率
[报告期] 2010年报","产权比率
[报告期] 2011年报","产权比率
[报告期] 2012年报","产权比率
[报告期] 2013年报","产权比率
[报告期] 2014年报","产权比率
[报告期] 2015年报","产权比率
[报告期] 2016年报","产权比率
[报告期] 2017年报","产权比率
[报告期] 2018年报","流动比率
[报告期] 2009年报","流动比率
[报告期] 2010年报","流动比率
[报告期] 2011年报","流动比率
[报告期] 2012年报","流动比率
[报告期] 2013年报","流动比率
[报告期] 2014年报","流动比率
[报告期] 2015年报","流动比率
[报告期] 2016年报","流动比率
[报告期] 2017年报","流动比率
[报告期] 2018年报","营业利润(同比增长率)
[报告期] 2009年报
[单位] %","营业利润(同比增长率)
[报告期] 2010年报
[单位] %","营业利润(同比增长率)
[报告期] 2011年报
[单位] %","营业利润(同比增长率)
[报告期] 2012年报
[单位] %","营业利润(同比增长率)
[报告期] 2013年报
[单位] %","营业利润(同比增长率)
[报告期] 2014年报
[单位] %","营业利润(同比增长率)
[报告期] 2015年报
[单位] %","营业利润(同比增长率)
[报告期] 2016年报
[单位] %","营业利润(同比增长率)
[报告期] 2017年报
[单位] %","营业利润(同比增长率)
[报告期] 2018年报
[单位] %","营业收入(同比增长率)
[报告期] 2009年报
[单位] %","营业收入(同比增长率)
[报告期] 2010年报
[单位] %","营业收入(同比增长率)
[报告期] 2011年报
[单位] %","营业收入(同比增长率)
[报告期] 2012年报
[单位] %","营业收入(同比增长率)
[报告期] 2013年报
[单位] %","营业收入(同比增长率)
[报告期] 2014年报
[单位] %","营业收入(同比增长率)
[报告期] 2015年报
[单位] %","营业收入(同比增长率)
[报告期] 2016年报
[单位] %","营业收入(同比增长率)
[报告期] 2017年报
[单位] %","营业收入(同比增长率)
[报告期] 2018年报
[单位] %","基本每股收益(同比增长率)
[报告期] 2009年报
[单位] %","基本每股收益(同比增长率)
[报告期] 2010年报
[单位] %","基本每股收益(同比增长率)
[报告期] 2011年报
[单位] %","基本每股收益(同比增长率)
[报告期] 2012年报
[单位] %","基本每股收益(同比增长率)
[报告期] 2013年报
[单位] %","基本每股收益(同比增长率)
[报告期] 2014年报
[单位] %","基本每股收益(同比增长率)
[报告期] 2015年报
[单位] %","基本每股收益(同比增长率)
[报告期] 2016年报
[单位] %","基本每股收益(同比增长率)
[报告期] 2017年报
[单位] %","基本每股收益(同比增长率)
[报告期] 2018年报
[单位] %","总资产周转率
[报告期] 2009年报","总资产周转率
[报告期] 2010年报","总资产周转率
[报告期] 2011年报","总资产周转率
[报告期] 2012年报","总资产周转率
[报告期] 2013年报","总资产周转率
[报告期] 2014年报","总资产周转率
[报告期] 2015年报","总资产周转率
[报告期] 2016年报","总资产周转率
[报告期] 2017年报","总资产周转率
[报告期] 2018年报","流动资产周转率
[报告期] 2009年报","流动资产周转率
[报告期] 2010年报","流动资产周转率
[报告期] 2011年报","流动资产周转率
[报告期] 2012年报","流动资产周转率
[报告期] 2013年报","流动资产周转率
[报告期] 2014年报","流动资产周转率
[报告期] 2015年报","流动资产周转率
[报告期] 2016年报","流动资产周转率
[报告期] 2017年报","流动资产周转率
[报告期] 2018年报","应收账款周转率
[报告期] 2009年报
[单位] 次","应收账款周转率
[报告期] 2010年报
[单位] 次","应收账款周转率
[报告期] 2011年报
[单位] 次","应收账款周转率
[报告期] 2012年报
[单位] 次","应收账款周转率
[报告期] 2013年报
[单位] 次","应收账款周转率
[报告期] 2014年报
[单位] 次","应收账款周转率
[报告期] 2015年报
[单位] 次","应收账款周转率
[报告期] 2016年报
[单位] 次","应收账款周转率
[报告期] 2017年报
[单位] 次","应收账款周转率
[报告期] 2018年报
[单位] 次↓","营业收入
[报告期] 2009年报
[报表类型] 合并报表
[单位] 元","营业收入
[报告期] 2010年报
[报表类型] 合并报表
[单位] 元","营业收入
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","营业收入
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","营业收入
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","营业收入
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","营业收入
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","营业收入
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","营业收入
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元","营业收入
[报告期] 2018年报
[报表类型] 合并报表
[单位] 元"
601668.SH,中国建筑,16.5612,14.9,13.5152,12.6006,16.2788,16.4799,18.5529,17.5603,16.9786,16.6654,16.2577,16.6732,16.0724,8.6255,8.3437,8.4447,8.6673,8.5461,9.0716,9.1416,8.3572,9.2784,10.6852,3.6253,4.1417,4.1473,4.1453,4.4695,4.3135,4.2355,4.3732,4.4853,4.6783,5.7806,6.2986,6.5736,6.1263,6.3158,5.952,5.6033,4.9749,4.7049,4.8208,69.8114,74.0251,76.5858,78.5859,79.005,78.5755,77.7857,79.0942,77.9669,76.9441,2.3125,2.8499,3.2709,3.6698,3.763,3.6676,3.5016,3.7834,3.5386,3.3373,1.5515,1.4701,1.3863,1.3532,1.3204,1.3172,1.3641,1.3881,1.2863,1.277,63.9201,38.5841,41.5306,13.5174,26.223,24.6069,13.9928,-1.2901,25.9349,21.6215,28.7663,41.9215,30.4745,16.384,19.4464,17.0586,10.3335,10.9417,10.4698,13.7583,66.6667,24,45.1613,15.5556,30.7692,10.2941,12,14.2857,11.4583,-18.6916,1.0079,1.0297,1.027,0.9494,0.9144,0.9033,0.8512,0.7633,0.7068,0.6933,1.1724,1.2309,1.263,1.1799,1.1529,1.1532,1.0951,0.9694,0.9244,0.9457,6.8753,8.0519,7.9393,7.0218,6.9957,6.8961,6.8972,6.9794,6.8843,6.8858,2.6E+11,3.7E+11,4.83E+11,5.72E+11,6.81E+11,8E+11,8.81E+11,9.6E+11,1.05E+12,1.2E+12
600104.SH,上汽集团,16.8714,15.9619,17.0992,25.2753,23.9977,18.4707,19.0728,18.938,17.9053,17.441,16.4936,15.6663,10.5784,11.7767,17.2226,16.6265,14.8565,12.3088,11.8338,10.6656,11.98,12.6708,12.5178,5.8681,7.4812,8.2571,7.0884,6.3275,6.108,6.0275,5.8702,5.4611,5.41,7.5137,14.8309,15.6298,12.8706,12.2022,10.9904,10.0537,9.2959,8.4701,7.4629,66.1518,64.2774,58.2227,54.2859,56.7145,55.408,58.7755,60.1955,62.3921,63.6266,1.9544,1.7993,1.3936,1.1875,1.3102,1.2426,1.4257,1.5123,1.659,1.7493,0.934,1.1004,1.1767,1.2098,1.246,1.1856,1.0476,1.1125,0.9974,1.0943,249.0683,914.6219,21.699,-14.0703,-34.5062,-7.8004,8.8735,19.7258,17.1062,-18.4092,31.3477,121.4637,18.3682,11.4719,19.0132,11.2606,5.2685,12.8104,15.0778,3.5369,906,60.1392,13.8423,2.6172,19.5537,12.7556,6.5037,7.4389,1.929,4.1568,1.1233,1.6632,1.548,1.4878,1.6281,1.5884,1.4352,1.3588,1.313,1.188,2.1181,2.7742,2.5165,2.487,2.6694,2.6693,2.6228,2.4927,2.3936,2.1219,7.6492,11.6415,10.0599,10.1731,12.6029,12.4189,11.1672,11.6972,13.6004,14.0377,1.39E+11,3.12E+11,4.33E+11,4.78E+11,5.63E+11,6.27E+11,6.61E+11,7.46E+11,8.58E+11,8.88E+11
601390.SH,中国中铁,10.6173,11.1914,11.7965,11.763,9.6655,9.8025,11.3861,11.0933,10.1977,8.7275,11.3408,9.9171,11.4683,6.1178,5.9449,7.2935,7.6373,7.4649,8.2206,8.1151,7.8674,9.1074,9.6785,2.218,1.8171,1.6305,1.7177,1.8595,1.8046,1.9591,2.0037,2.0562,2.3531,3.8742,3.6687,3.2732,3.3509,3.5785,3.5022,3.3048,3.323,3.1888,3.5434,78.7593,81.0552,82.6748,83.9448,84.6138,84.0537,80.4854,80.2483,79.9083,76.448,3.7079,4.2785,4.7719,5.2285,5.4993,5.271,4.1244,4.0629,3.9772,3.2459,1.13,1.1296,1.1784,1.1877,1.1971,1.1579,1.2023,1.1748,1.1351,1.0475,20.1564,26.2938,17.9928,10.2676,18.583,14.5538,0.3287,5.3896,14.8211,26.6474,48.1969,36.5391,-3.0572,5.2936,16.0578,9.2103,1.6565,5.4862,8.8357,7.493,412.6984,8.9783,-10.7955,9.8726,27.5362,9.5455,9.9585,-2.4528,29.4004,7.3244,1.1854,1.3042,1.0354,0.9178,0.9194,0.9026,0.8617,0.8638,0.8644,0.8296,1.5541,1.7048,1.3481,1.1766,1.1553,1.1283,1.0829,1.0924,1.1004,1.1292,5.614,6.0284,4.8517,4.5134,4.4824,4.0367,3.932,4.0958,3.78,4.5312,3.46E+11,4.73E+11,4.6E+11,4.83E+11,5.59E+11,6.1E+11,6.21E+11,6.39E+11,6.9E+11,7.38E+11
601186.SH,中国铁建,11.6531,11.6177,13.0624,7.6737,12.8599,12.404,13.5268,13.1958,12.4832,11.5293,11.445,11.2341,10.6344,6.5362,6.0683,7.6676,7.8708,7.4942,8.0593,8.7148,8.0178,8.5752,9.183,1.9502,0.9453,1.7779,1.8134,1.8316,2.016,2.296,2.3907,2.5027,2.7351,3.7874,2.3473,3.4179,3.4817,3.6958,3.6996,3.5215,3.279,3.4393,3.6464,80.8901,83.3717,84.463,84.7441,84.8423,83.3241,81.4941,80.4152,78.2636,77.4064,4.2329,5.0138,5.4363,5.5548,5.5973,4.9967,4.4037,4.106,3.6006,3.426,1.1514,1.1115,1.1305,1.1287,1.2051,1.21,1.1888,1.245,1.2009,1.0886,79.6987,-21.2182,80.2527,15.1146,13.3206,15.7351,9.7174,-0.1665,10.2104,26.3431,57.2289,32.2813,-2.8207,5.9894,21.3017,0.7065,1.2624,6.6368,8.8296,7.2906,64.9907,-35.6515,85.9384,7.8125,21.7391,9.5238,6.5217,5.102,12.6214,8.6207,1.3722,1.4423,1.1467,1.0399,1.1028,0.9812,0.8872,0.8536,0.8551,0.8339,1.6223,1.7197,1.3591,1.2101,1.2846,1.1606,1.0656,1.047,1.0695,1.1132,8.8832,8.9983,7.2995,6.7634,6.8971,5.4776,4.682,4.6305,4.6414,5.5222,3.56E+11,4.7E+11,4.57E+11,4.84E+11,5.87E+11,5.92E+11,6.01E+11,6.29E+11,6.81E+11,7.3E+11
601800.SH,中国交建,12.0064,11.99,15.0337,17.1895,18.0547,15.607,13.8406,13.2313,12.0248,11.2466,12.3105,10.4835,9.4044,9.565,8.6066,9.4831,11.0382,10.2285,10.7288,12.3271,13.4658,13.1366,13.2219,3.5008,3.6126,4.0537,3.9579,3.6851,3.7782,3.926,4.0902,4.6629,4.16,5.2419,5.1185,5.444,5.1441,4.5397,4.6376,4.2621,4.2483,4.0142,4.0572,74.9188,76.9066,77.4388,77.824,79.7387,79.1152,76.8901,76.7102,75.8093,75.0455,2.987,3.3302,3.4324,3.5094,3.9355,3.7882,3.3271,3.2937,3.1338,3.0073,1.0564,0.9995,1.0197,1.0685,1.0463,1.0461,1.0527,1.0311,1.0063,1.0034,15.6828,10.9306,17.4283,20.4099,-0.1213,15.9115,13.1607,17.4956,5.9156,7.7937,26.8496,20.1895,7.9004,0.3534,12.3516,10.3207,10.2649,6.53,13.2247,6.2163,19.5122,36.7347,17.9104,-2.5316,1.2987,10.2564,11.6279,4.1667,23,-5.6911,0.9484,0.9585,0.887,0.748,0.7002,0.6404,0.5954,0.5644,0.5604,0.5428,1.4672,1.542,1.427,1.1989,1.1288,1.0907,1.0842,1.0423,1.0435,1.0554,6.3887,6.4458,6,5.7849,6.0576,6.2103,6.5724,5.8708,6.0339,6.221,2.28E+11,2.74E+11,2.95E+11,2.96E+11,3.32E+11,3.67E+11,4.04E+11,4.32E+11,4.83E+11,4.91E+11
600606.SH,绿地控股,14.566,16.8844,12.0977,12.0209,10.0443,4.9017,3.185,-17.9937,25.0685,13.1824,15.215,17.1522,19.7885,60.8635,37.1886,47.5782,72.784,47.9728,117.0972,9.9467,10.6609,11.5519,12.9406,35.1284,19.2013,24.6144,25.8233,8.7768,-369.8765,3.7588,3.9975,4.8255,4.7255,7.9477,8.5806,6.7392,3.8003,3.064,-3.5686,4.4542,2.5062,2.8629,2.9488,51.8242,55.6984,62.4422,63.115,64.2555,74.8251,88.0365,89.4323,88.9867,89.4915,1.0757,1.2573,1.6626,1.7111,1.7976,2.9722,7.3588,8.4628,8.0799,8.5161,2.199,1.9986,1.405,2.3128,1.8677,1.1749,1.5429,1.4506,1.324,1.2412,6.2351,18.7444,-25.7147,-56.6282,39.9762,-566.1199,-38.4352,80.7079,33.3766,49.6721,6.738,103.8536,-30.6934,-50.817,90.192,-87.1843,-21.6696,19.7035,19.6601,20.5539,33.3333,0,-21.1538,-51.2195,-35,-638.4615,182.8571,1.7241,25.4237,25.6757,0.1731,0.2879,0.1646,0.0705,0.1281,0.0146,0.6464,0.3526,0.3556,0.3598,0.2619,0.4117,0.2346,0.1008,0.1708,0.0179,0.7162,0.3876,0.3923,0.4011,228.9206,115.8641,18.2535,5.9845,4.0786,0.5899,27.2752,11.4591,8.3901,6.5418,645376551.9,1359781552,918538914.5,440257058.9,892419247.1,110279726,2.07E+11,2.47E+11,2.9E+11,3.48E+11
600019.SH,宝钢股份,12.0192,12.1447,6.2174,12.8966,6.9702,9.5339,5.2442,5.154,0.8922,7.6606,13.42,12.641,7.0026,9.0854,11.8078,8.5664,7.3093,9.2757,9.635,8.6117,12.4821,13.5049,14.5374,4.1196,6.618,3.4781,5.4564,3.1856,3.2515,0.4363,4.9708,7.0938,7.6678,4.4666,8.9519,4.9491,6.721,4.3433,4.2563,1.3226,5.4773,8.9513,9.01,49.6779,48.4681,50.9,45.2588,47.0301,45.6797,47.8281,50.9591,50.1841,43.5326,0.9872,0.9405,1.0367,0.8268,0.8879,0.8409,0.9167,1.0391,1.0074,0.7709,0.7447,0.9411,0.8017,0.8438,0.8248,0.8334,0.761,0.8525,0.8167,0.9009,-16.6632,105.2591,-49.9241,-34.1108,54.2047,1.4687,-48.884,209.0845,65.7604,9.5826,-25.7924,36.4568,10.1374,-14.0662,-0.8133,-1.2318,-12.6347,13.2325,16.9835,5.5509,-10.8108,124.2424,-43.2432,42.8571,-41.6667,0,-82.8571,816.6667,56.3636,12.7907,0.7376,0.9678,0.9948,0.8585,0.8599,0.8228,0.7073,0.7376,0.9305,0.8859,2.6557,3.3224,3.0036,2.5731,2.5721,2.4576,2.2684,2.1519,2.4426,2.3962,13.4258,15.019,12.8909,9.3549,8.5306,8.7575,8.9194,9.7379,8.8964,7.0697,1.48E+11,2.02E+11,2.23E+11,1.91E+11,1.9E+11,1.87E+11,1.64E+11,1.85E+11,2.89E+11,3.05E+11
600704.SH,物产中大,11.345,11.3,13.956,18.4677,16.6535,11.763,12.4869,7.2001,11.2567,11.0616,10.6175,10.4663,11.1511,5.2638,5.6644,6.5301,6.2144,6.1462,5.874,2.8539,3.2083,2.4807,2.6655,1.7512,2.0485,2.0701,1.4633,1.7827,1.2163,1.0135,1.2279,1.0633,1.141,5.2777,6.0839,6.6678,5.3736,4.426,3.1151,5.5856,5.8602,6.1445,6.6087,80.2706,80.699,81.6849,77.6082,79.1897,75.9658,69.7306,68.9872,69.325,66.2483,4.0686,4.1811,4.46,3.4659,3.8053,3.1607,2.3037,2.2245,2.26,1.9628,1.1202,1.1441,1.1658,1.1601,1.3196,1.2766,1.1319,0.9837,0.965,1.1195,-2.4632,37.3517,46.4342,-11.6261,-11.2791,-54.8709,53.5426,21.7228,51.8147,22.9666,-7.1556,28.6763,16.5171,7.3663,2.1842,-5.56,-14.8895,13.5367,33.685,8.6704,57.5,80.9524,-29.8246,-32.2875,18.2758,-35.9607,46.2345,11.6667,-31.3433,8.6957,2.1549,1.8202,1.7818,1.6794,1.5458,1.3064,3.5243,2.7642,3.4008,3.4916,2.5765,2.2131,2.1505,2.0278,1.8684,1.5969,4.6314,4.0644,5.6023,5.679,79.3517,67.6599,53.9416,53.5423,45.0219,33.0522,54.7298,34.5253,38.3781,38.1689,24297602852,31255956618,36627922130,39490976831,40234648405,37926720628,1.82E+11,2.07E+11,2.76E+11,3E+11
000002.SZ,万科A,20.3909,22.7114,15.3888,17.8489,19.8042,21.493,21.4872,19.0784,19.2403,19.6815,22.7952,23.4175,22.6117,23.7723,38.1777,36.1249,32.4238,27.178,25.0988,24.7898,25.4739,32.3258,37.0105,14.201,18.4894,17.1201,16.1587,14.3498,13.9724,14.0619,12.3738,15.662,16.5717,7.3682,8.8624,8.0943,8.1219,6.8353,6.3826,7.5519,7.1799,6.887,7.0707,67.0017,74.7268,77.1249,78.3331,78.0094,77.215,77.7087,80.5408,83.9825,84.5865,2.0305,2.9568,3.3716,3.6153,3.5474,3.3889,3.4861,4.139,5.2432,5.4878,1.9149,1.5879,1.4098,1.3967,1.3447,1.3454,1.3027,1.2439,1.201,1.1544,22.6527,70.9805,65.0786,63.5965,8.463,-5.4819,40.9425,24.6486,30.9889,43.0408,24.1937,5.4885,50.1659,51.3342,31.5857,8.2699,33.5692,24.1966,3.682,25.1695,29.7297,37.5,33.3333,29.5455,20.1754,4.3796,14.6853,15.8537,33.6842,20.4724,0.3526,0.2704,0.2644,0.2869,0.297,0.2794,0.3295,0.3177,0.238,0.2207,0.3715,0.2844,0.2772,0.3002,0.3167,0.3043,0.3646,0.3612,0.2732,0.2571,55.3537,45.4079,47.3388,57.7128,51.3355,55.4968,83.6908,99.8345,135.3166,196.6478,48881013143,50713851443,71782749801,1.03E+11,1.35E+11,1.46E+11,1.96E+11,2.4E+11,2.43E+11,2.98E+11
601669.SH,中国电建,10.4638,9.6633,25.5749,28.2669,19.0243,14.0716,14.0585,12.9419,10.9613,11.5623,10.4873,9.3309,7.4761,11.6146,10.3196,12.2316,11.7641,12.0904,11.7076,12.4421,11.937,13.2148,14.0185,3.4517,3.2567,3.5618,3.5156,3.6905,3.2433,2.8289,3.213,3.0494,3.3905,5.0181,4.9353,5.3166,5.1341,4.7323,4.2613,3.9551,3.5637,3.3465,3.5125,87.9073,88.7778,80.6416,80.7958,82.1536,83.2351,82.7901,82.8598,79.3794,79.9691,7.2695,7.9109,4.1657,4.2072,4.6034,4.9649,4.8106,4.8342,3.8495,3.9923,0.9099,0.9314,1.1681,1.1699,1.19,1.1255,1.1769,1.1283,1.0184,0.9626,54.8675,29.8491,27.8974,6.5677,21.3612,6.0116,-13.134,7.0653,37.0532,5.1898,24.0843,34.9864,11.7037,12.1145,13.5748,15.4652,10.6862,14.9593,11.6986,10.823,,25.9926,11.63,-13.3834,11.2778,5.0569,-23.6462,23.8245,1.5698,1.1278,0.825,0.8878,0.7773,0.7197,0.6824,0.6279,0.593,0.5216,0.4909,0.4541,1.5377,1.6913,1.3973,1.2619,1.1715,1.057,1.0102,0.9027,0.919,0.9289,6.6677,6.7468,6.74,6.8538,6.8092,6.9247,7.3375,6.7496,6.1302,6.2572,75540174117,1.01E+11,1.13E+11,1.27E+11,1.45E+11,1.67E+11,2.11E+11,2.39E+11,2.66E+11,2.95E+11
